business_type,category,sub_category
Other,Banks & Credit Unions,other
Other,Bar Crawl,other
Other,Barbers,other
Other,Barre Classes,other
Other,Bartenders,other
Other,Bartending Schools,other
Other,Baseball Fields,other
Other,Basque,other
Other,Battery Stores,other
Other,Batting Cages,other
Other,Beaches,other
Other,Beauty & Spas,other
Other,Beer,other
Other,Beer Bar,other
Other,Beer Gardens,other
Other,Beer Hall,other
Other,Beer Tours,other
Other,Behavior Analysts,other
Other,Bespoke Clothing,other
Other,Beverage Store,other
Other,Bike Rentals,other
Other,Bike Repair/Maintenance,other
Other,Bike tours,other
Other,Bikes,other
Other,Blood & Plasma Donation Centers,other
Other,Blow Dry/Out Services,other
Other,Boat Charters,other
Other,Boat Dealers,other
Other,Boat Parts & Supplies,other
Other,Boat Repair,other
Other,Boat Tours,other
Other,Boating,other
Other,Body Contouring,other
Other,Body Shops,other
Other,Bookbinding,other
Other,Bookkeepers,other
Other,Books,other
Other,Bookstores,other
Other,Boot Camps,other
Other,Botanical Gardens,other
Other,Boudoir Photography,other
Other,Bowling,other
Other,Boxing,other
Other,Brasseries,other
Other,Brazilian Jiu-jitsu,other
Other,Brewing Supplies,other
Other,Brewpubs,other
Other,Bridal,other
Other,Buddhist Temples,other
Other,Building Supplies,other
Other,Bus Tours,other
Other,Buses,other
Other,Business Consulting,other
Other,Business Law,other
Other,Butcher,other
Other,Cabinetry,other
Other,Cafeteria,other
Other,Candle Stores,other
Other,Candy Stores,other
Other,Cannabis Clinics,other
Other,Cannabis Dispensaries,other
Other,Car Auctions,other
Other,Car Buyers,other
Other,Car Dealers,other
Other,Car Inspectors,other
Other,Car Rental,other
Other,Car Share Services,other
Other,Car Stereo Installation,other
Other,Car Wash,other
Other,Car Window Tinting,other
Other,Cardio Classes,other
Other,Cardiologists,other
Other,Cards & Stationery,other
Other,Career Counseling,other
Other,Carpenters,other
Other,Carpet Cleaning,other
Other,Carpet Installation,other
Other,Carpeting,other
Other,Casinos,other
Other,Caterers,other
Other,Ceremonial Clothing,other
Other,Challenge Courses,other
Other,Champagne Bars,other
Other,Cheese Shops,other
Other,Child Care & Day Care,other
Other,Children's Clothing,other
Other,Children's Museums,other
Other,Chimney Sweeps,other
Other,Chiropractors,other
Other,Chocolatiers & Shops,other
Other,Christmas Trees,other
Other,Churches,other
Other,Cideries,other
Other,Cigar Bars,other
Other,Cinema,other
Other,Circuit Training Gyms,other
Other,Climbing,other
Other,Clock Repair,other
Other,Clothing Rental,other
Other,Clowns,other
Other,Club Crawl,other
Other,Coffee Roasteries,other
Other,College Counseling,other
Other,Colleges & Universities,other
Other,Colonics,other
Other,Comedy Clubs,other
Other,Comic Books,other
Other,Commercial Real Estate,other
Other,Commercial Truck Dealers,other
Other,Commercial Truck Repair,other
Other,Commissioned Artists,other
Other,Community Centers,other
Other,Community Service/Non-Profit,other
Other,Computers,other
Other,Concierge Medicine,other
Other,Condominiums,other
Other,Contractors,other
Other,Convenience Stores,other
Other,Conveyor Belt Sushi,other
Other,Cooking Classes,other
Other,Cooking Schools,other
Other,Cosmetic Dentists,other
Other,Cosmetic Surgeons,other
Other,Cosmetics & Beauty Supply,other
Other,Cosmetology Schools,other
Other,Costumes,other
Other,Counseling & Mental Health,other
Other,Countertop Installation,other
Other,Couriers & Delivery Services,other
Other,Courthouses,other
Other,CPR Classes,other
Other,Crane Services,other
Other,Cremation Services,other
Other,Criminal Defense Law,other
